show_id,type,title,director,date_added,release_year,rating,duration,listed_in,Platform
s4934,TV Show,AMO,,"April 9, 2018",2017,6.4,1 Season,"International TV Shows, TV Dramas",Netflix
s4935,Movie,6 Balloons,Marja Lewis Ryan,"April 6, 2018",2018,5.9,75 min,"Dramas, Independent Movies",Netflix
s4936,Movie,Amateur,Ryan Koo,"April 6, 2018",2018,6.7,96 min,"Dramas, Independent Movies, Sports Movies",Netflix
s4937,Movie,Orbiter 9,Hatem Khraiche,"April 6, 2018",2017,5.9,95 min,"Dramas, International Movies, Sci-Fi & Fantasy",Netflix
s4938,Movie,"Ram Dass, Going Home",Derek Peck,"April 6, 2018",2018,6.9,32 min,"Documentaries, Faith & Spirituality",Netflix
s4939,Movie,Seth Rogen's Hilarity for Charity,Ryan Polito,"April 6, 2018",2018,3.9,70 min,Stand-Up Comedy,Netflix
s4940,Movie,Sun Dogs,Jennifer Morrison,"April 6, 2018",2017,6.3,94 min,"Comedies, Dramas, Independent Movies",Netflix
s4941,Movie,Todo lo que sería Lucas Lauriente,"Raúl Campos, Jan Suter","April 6, 2018",2018,7.1,78 min,Stand-Up Comedy,Netflix
s4942,TV Show,Troy,,"April 6, 2018",2018,7.3,1 Season,"British TV Shows, International TV Shows, Romantic TV Shows",Netflix
s4943,TV Show,Wakfu,,"April 6, 2018",2017,8.1,3 Seasons,Kids' TV,Netflix
s4944,Movie,Day of the Dead: Bloodline,Hèctor Hernández Vicens,"April 5, 2018",2018,3.5,91 min,"Horror Movies, Independent Movies",Netflix
s4945,Movie,Fary Is the New Black,Kader Aoun,"April 3, 2018",2018,6.1,75 min,Stand-Up Comedy,Netflix
s4946,Movie,Ittefaq,Abhay Chopra,"April 3, 2018",2017,7.2,105 min,"Dramas, International Movies, Thrillers",Netflix
s4947,TV Show,Star Trek: The Next Generation,,"April 2, 2018",1993,8.7,7 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy",Netflix
s4948,Movie,A Sort of Family,Diego Lerman,"April 1, 2018",2017,,96 min,"Dramas, International Movies, Thrillers",Netflix
s4949,Movie,Billu,Priyadarshan,"April 1, 2018",2009,6.4,132 min,"Dramas, International Movies",Netflix
s4950,TV Show,Fallet,,"April 1, 2018",2017,6.8,1 Season,"Crime TV Shows, International TV Shows, TV Comedies",Netflix
s4951,Movie,John Mulaney: New in Town,Ryan Polito,"April 1, 2018",2012,8.2,60 min,Stand-Up Comedy,Netflix
s4952,TV Show,Loaded,,"April 1, 2018",2017,6.2,1 Season,"British TV Shows, International TV Shows, TV Comedies",Netflix
s4953,Movie,Main Hoon Na,Farah Khan,"April 1, 2018",2004,7.1,171 min,"Action & Adventure, Comedies, Dramas",Netflix
s4954,Movie,Metro,Ananda Krishnan,"April 1, 2018",2016,5.6,116 min,"Dramas, International Movies, Thrillers",Netflix
s4955,Movie,Om Shanti Om,Farah Khan,"April 1, 2018",2007,6.8,169 min,"Comedies, Dramas, International Movies",Netflix
s4956,Movie,Paheli,Amol Palekar,"April 1, 2018",2005,6.4,134 min,"Dramas, International Movies, Romantic Movies",Netflix
s4957,Movie,Phir Bhi Dil Hai Hindustani,Aziz Mirza,"April 1, 2018",2000,6.2,159 min,"Comedies, Dramas, International Movies",Netflix
s4958,TV Show,Doctor Foster,,"March 31, 2018",2017,7.6,2 Seasons,"British TV Shows, International TV Shows, Romantic TV Shows",Netflix
s4959,Movie,Revolt,Joe Miale,"March 31, 2018",2017,5.3,87 min,"Action & Adventure, Sci-Fi & Fantasy",Netflix
s4960,Movie,First Match,Olivia Newman,"March 30, 2018",2018,6.4,103 min,"Dramas, Independent Movies, Sports Movies",Netflix
s4961,Movie,Happy Anniversary,Jared Stern,"March 30, 2018",2018,5.9,78 min,"Comedies, Romantic Movies",Netflix
s4962,TV Show,Rapture,,"March 30, 2018",2018,,1 Season,Docuseries,Netflix
s4963,Movie,Sofía Niño de Rivera: Selección Natural,"Raúl Campos, Jan Suter","March 30, 2018",2018,6.8,62 min,Stand-Up Comedy,Netflix
s4964,Movie,The Titan,Lennart Ruff,"March 30, 2018",2018,9.1,97 min,"Dramas, Sci-Fi & Fantasy, Thrillers",Netflix
s4965,TV Show,Trailer Park Boys,,"March 30, 2018",2018,8.5,12 Seasons,"Classic & Cult TV, Crime TV Shows, International TV Shows",Netflix
s4966,Movie,Trailer Park Boys: Countdown to Liquor Day,Mike Clattenburg,"March 30, 2018",2009,7.3,102 min,"Comedies, Cult Movies",Netflix
s4967,Movie,Trailer Park Boys: The Movie,Mike Clattenburg,"March 30, 2018",2006,7.1,95 min,"Comedies, Cult Movies",Netflix
s4968,TV Show,Trump: An American Dream,,"March 30, 2018",2018,7.2,1 Season,Docuseries,Netflix
s4969,TV Show,James Acaster: Repertoire,Dan Lucchesi,"March 27, 2018",2018,8.4,1 Season,"British TV Shows, International TV Shows, Stand-Up Comedy & Talk Shows",Netflix
s4970,Movie,Birdshot,Mikhail Red,"March 26, 2018",2016,6.6,115 min,"Dramas, International Movies, Thrillers",Netflix
s4971,Movie,"Game Over, Man!",Kyle Newacheck,"March 23, 2018",2018,5.5,102 min,"Action & Adventure, Comedies",Netflix
s4972,Movie,Layla M.,Mijke de Jong,"March 23, 2018",2016,6.6,99 min,"Dramas, International Movies",Netflix
s4973,Movie,Paradox,Daryl Hannah,"March 23, 2018",2018,5.5,74 min,"Dramas, Independent Movies, Music & Musicals",Netflix
s4974,TV Show,Requiem,,"March 23, 2018",2018,8.3,1 Season,"British TV Shows, International TV Shows, TV Dramas",Netflix
s4975,Movie,Roxanne Roxanne,Michael Larnell,"March 23, 2018",2018,6.6,100 min,"Dramas, Music & Musicals",Netflix
s4976,Movie,Secret Superstar,Advait Chandan,"March 23, 2018",2017,7.8,150 min,"Dramas, International Movies, Music & Musicals",Netflix
s4977,TV Show,The Standups,,"March 20, 2018",2018,6.6,2 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies",Netflix
s4978,Movie,Benji,Brandon Camp,"March 16, 2018",2018,6.3,87 min,"Children & Family Movies, Dramas",Netflix
s4979,TV Show,Edha,,"March 16, 2018",2018,4.9,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",Netflix
s4980,Movie,Take Your Pills,Alison Klayman,"March 16, 2018",2018,6.3,88 min,Documentaries,Netflix
s4981,TV Show,Wild Wild Country,,"March 16, 2018",2018,8.1,1 Season,"Crime TV Shows, Docuseries",Netflix
s4982,Movie,Yoo Byung Jae: Too Much Information,Yoo Byung-jae,"March 16, 2018",2018,5.5,63 min,Stand-Up Comedy,Netflix
s4983,Movie,In This Corner of the World,Sunao Katabuchi,"March 15, 2018",2016,6.3,129 min,"Anime Features, Children & Family Movies, International Movies",Netflix
s4984,Movie,Jag älskar dig: En skilsmässokomedi,Johan Brisinger,"March 15, 2018",2016,4.8,91 min,"Comedies, Dramas, International Movies",Netflix
s4985,TV Show,Secret of the Nile,,"March 15, 2018",2016,5.4,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix
s4986,TV Show,Tabula Rasa,,"March 15, 2018",2017,7.9,1 Season,"International TV Shows, TV Dramas, TV Mysteries",Netflix
s4987,Movie,The Art of Loving,Maria Sadowska,"March 15, 2018",2017,,115 min,"Dramas, International Movies",Netflix
s4988,Movie,Steel Rain,Yang Woo-seok,"March 14, 2018",2018,7.1,140 min,"Action & Adventure, Dramas, International Movies",Netflix
s4989,TV Show,Children of the Whales,,"March 13, 2018",2017,,1 Season,"Anime Series, International TV Shows",Netflix
s4990,Movie,Ricky Gervais: Humanity,John L. Spencer,"March 13, 2018",2018,8.0,79 min,Stand-Up Comedy,Netflix
s4991,Movie,Stretch Armstrong: The Breakout,Victor Cook,"March 13, 2018",2018,6.1,104 min,Children & Family Movies,Netflix
s4992,TV Show,A.I.C.O.,Kazuya Murata,"March 9, 2018",2018,6.3,1 Season,"Anime Series, International TV Shows",Netflix
s4993,TV Show,Collateral,,"March 9, 2018",2018,7.5,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",Netflix
s4994,Movie,The Outsider,Martin Zandvliet,"March 9, 2018",2018,7.6,121 min,"Dramas, Thrillers",Netflix
s4995,TV Show,Bad Guys: Vile City,,"March 8, 2018",2018,7.4,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",Netflix
s4996,Movie,Ladies First,Uraaz Bahl,"March 8, 2018",2018,,40 min,"Documentaries, International Movies, Sports Movies",Netflix
s4997,Movie,Bullet Head,"Paul Solet, Rick Benattar","March 7, 2018",2017,5.4,94 min,"International Movies, Thrillers",Netflix
s4998,TV Show,Borderliner,,"March 6, 2018",2017,6.7,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix
s4999,Movie,Gad Elmaleh: American Dream,Michael Simon,"March 6, 2018",2018,7.2,58 min,Stand-Up Comedy,Netflix
s5000,Movie,Expedition China,Ben Wallis,"March 4, 2018",2017,6.6,78 min,"Children & Family Movies, Documentaries",Netflix
s5001,TV Show,Flint Town,,"March 2, 2018",2018,7.8,1 Season,"Docuseries, Science & Nature TV",Netflix
s5002,Movie,Malena Pichot: Estupidez compleja,"Raúl Campos, Jan Suter","March 2, 2018",2018,5.8,51 min,Stand-Up Comedy,Netflix
s5003,Movie,Natalia Valdebenito: El especial,"Raúl Campos, Jan Suter","March 2, 2018",2018,5.2,69 min,Stand-Up Comedy,Netflix
s5004,Movie,Ravenous,Robin Aubert,"March 2, 2018",2017,6.9,104 min,"Horror Movies, International Movies",Netflix
s5005,TV Show,21 Thunder,,"March 1, 2018",2017,6.0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix
s5006,Movie,Adel Karam: Live from Beirut,,"March 1, 2018",2018,5.2,59 min,Stand-Up Comedy,Netflix
s5007,Movie,Battle Drone,Mitch Gould,"March 1, 2018",2018,4.9,94 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",Netflix
s5008,Movie,Dil Se,Mani Ratnam,"March 1, 2018",1998,7.5,166 min,"Dramas, International Movies, Romantic Movies",Netflix
s5009,Movie,Guru,Mani Ratnam,"March 1, 2018",2007,9.4,155 min,"Dramas, International Movies",Netflix
s5010,Movie,Judwaa 2,David Dhawan,"March 1, 2018",2017,3.7,145 min,"Action & Adventure, Comedies, International Movies",Netflix
s5011,Movie,Love Beats Rhymes,RZA,"March 1, 2018",2016,5.5,106 min,"Dramas, Music & Musicals, Romantic Movies",Netflix
s5012,Movie,Schubert In Love,Lars Büchel,"March 1, 2018",2016,5.0,94 min,"Comedies, International Movies",Netflix
s5013,Movie,Shubh Aarambh,Amit Barot,"March 1, 2018",2017,6.7,127 min,"Dramas, International Movies, Romantic Movies",Netflix
s5014,Movie,Something Huge,Carlo Padial,"March 1, 2018",2017,4.4,87 min,"Comedies, Independent Movies, International Movies",Netflix
s5015,Movie,Swades,Ashutosh Gowariker,"March 1, 2018",2004,8.2,185 min,"Dramas, International Movies",Netflix
s5016,Movie,Swearnet Live,"Mike Smith, John Paul Tremblay, Robb Wells","March 1, 2018",2014,5.4,75 min,"Comedies, International Movies",Netflix
s5017,Movie,Trailer Park Boys Live at the North Pole,"Mike Smith, John Paul Tremblay, Robb Wells","March 1, 2018",2014,6.6,89 min,Movies,Netflix
s5018,Movie,Trailer Park Boys Live In F**kin' Dublin,"Mike Smith, John Paul Tremblay, Robb Wells","March 1, 2018",2014,6.2,81 min,Movies,Netflix
s5019,Movie,Trailer Park Boys: Say Goodnight to the Bad Guys,Mike Clattenburg,"March 1, 2018",2008,7.8,47 min,"Comedies, Cult Movies",Netflix
s5020,Movie,Trailer Park Boys: Xmas Special,Mike Clattenburg,"March 1, 2018",2004,8.0,46 min,Movies,Netflix
s5021,Movie,Tu Hai Mera Sunday,Milind Dhaimade,"March 1, 2018",2016,7.7,125 min,"Comedies, Independent Movies, International Movies",Netflix
s5022,Movie,Yuva,Mani Ratnam,"March 1, 2018",2004,7.3,160 min,"Dramas, International Movies",Netflix
s5023,Movie,반드시 잡는다,Hong-seon Kim,"February 28, 2018",2017,,110 min,"Dramas, International Movies, Thrillers",Netflix
s5024,Movie,Derren Brown: The Push,,"February 27, 2018",2018,7.5,69 min,Movies,Netflix
s5025,Movie,Marlon Wayans: Woke-ish,Marcus Raboy,"February 27, 2018",2018,6.5,67 min,Stand-Up Comedy,Netflix
s5026,Movie,Veronica,Paco Plaza,"February 25, 2018",2017,8.3,105 min,"Horror Movies, International Movies, Thrillers",Netflix
s5027,TV Show,Best Lover,,"February 23, 2018",2016,5.4,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix
s5028,TV Show,Marseille,,"February 23, 2018",2018,6.8,2 Seasons,"International TV Shows, TV Dramas, TV Thrillers",Netflix
s5029,Movie,Mute,Duncan Jones,"February 23, 2018",2018,5.5,127 min,"Sci-Fi & Fantasy, Thrillers",Netflix
s5030,TV Show,Seven Seconds,,"February 23, 2018",2018,7.7,1 Season,"Crime TV Shows, TV Dramas",Netflix
s5031,TV Show,Hitler's Circle of Evil,,"February 22, 2018",2017,8.0,1 Season,"British TV Shows, Docuseries, International TV Shows",Netflix
s5032,Movie,Forgotten,Hang-Jun Jang,"February 21, 2018",2017,7.4,109 min,"Dramas, International Movies, Thrillers",Netflix
s5033,TV Show,The Frankenstein Chronicles,,"February 20, 2018",2017,7.2,2 Seasons,"British TV Shows, Crime TV Shows, International TV Shows",Netflix
s5034,Movie,FullMetal Alchemist,Fumihiko Sori,"February 19, 2018",2017,9.1,134 min,"Action & Adventure, Dramas, International Movies",Netflix
s5035,Movie,Agustín Aristarán: Soy Rada,Mariano Baez,"February 16, 2018",2018,6.3,60 min,Stand-Up Comedy,Netflix
s5036,TV Show,Dragons: Race to the Edge,,"February 16, 2018",2018,8.2,6 Seasons,"Kids' TV, TV Action & Adventure",Netflix
s5037,TV Show,Everything Sucks!,,"February 16, 2018",2018,7.4,1 Season,"TV Comedies, TV Dramas, Teen TV Shows",Netflix
s5038,Movie,Irreplaceable You,Stephanie Laing,"February 16, 2018",2018,6.4,96 min,"Dramas, Romantic Movies",Netflix
s5039,TV Show,Re:Mind,,"February 15, 2018",2017,5.0,1 Season,"International TV Shows, TV Dramas, TV Mysteries",Netflix
s5040,Movie,Chris Rock: Tamborine,Bo Burnham,"February 14, 2018",2018,6.6,65 min,Stand-Up Comedy,Netflix
s5041,Movie,Love Per Square Foot,Anand Tiwari,"February 14, 2018",2018,7.1,133 min,"Comedies, International Movies, Romantic Movies",Netflix
s5042,Movie,Seeing Allred,"Roberta Grossman, Sophie Sartain","February 9, 2018",2018,7.3,96 min,Documentaries,Netflix
s5043,Movie,The Ritual,David Bruckner,"February 9, 2018",2018,4.6,95 min,"Horror Movies, International Movies, Thrillers",Netflix
s5044,Movie,The Trader (Sovdagari),Tamta Gabrichidze,"February 9, 2018",2018,,24 min,"Documentaries, International Movies",Netflix
s5045,Movie,When We First Met,Ari Sandel,"February 9, 2018",2018,6.4,97 min,"Comedies, Romantic Movies",Netflix
s5046,Movie,Fred Armisen: Standup For Drummers,Lance Bangs,"February 6, 2018",2018,5.8,65 min,"Music & Musicals, Stand-Up Comedy",Netflix
s5047,TV Show,Valor,,"February 6, 2018",2017,6.0,1 Season,"TV Action & Adventure, TV Dramas",Netflix
s5048,Movie,The Cloverfield Paradox,Julius Onah,"February 5, 2018",2018,5.5,102 min,"Action & Adventure, Sci-Fi & Fantasy",Netflix
s5049,TV Show,Coach Snoop,,"February 2, 2018",2018,6.9,1 Season,"Docuseries, Reality TV",Netflix
s5050,Movie,Kavin Jay: Everybody Calm Down!,Michael McKay,"February 2, 2018",2018,6.0,53 min,Stand-Up Comedy,Netflix
s5051,Movie,On Body and Soul,Ildiko Enyedi,"February 2, 2018",2017,7.5,116 min,"Dramas, International Movies, Romantic Movies",Netflix
s5052,Movie,The Bros,You-Jeong Chang,"February 2, 2018",2017,7.0,102 min,"Comedies, Dramas, International Movies",Netflix
s5053,Movie,Liberated: The New Sexual Revolution,,"February 1, 2018",2017,6.0,86 min,Documentaries,Netflix
s5054,Movie,Newness,Drake Doremus,"February 1, 2018",2017,6.3,117 min,"Dramas, Independent Movies, Romantic Movies",Netflix
s5055,TV Show,Under Arrest,Dan Forrer,"February 1, 2018",2016,7.3,8 Seasons,"Crime TV Shows, Docuseries, International TV Shows",Netflix
s5056,Movie,Expedition Happiness,Selima Taibi,"January 31, 2018",2017,5.9,96 min,"Documentaries, International Movies",Netflix
s5057,Movie,Jerry Seinfeld: I'm Telling You for the Last Time,Marty Callner,"January 30, 2018",1998,7.8,69 min,Stand-Up Comedy,Netflix
s5058,TV Show,Retribution,,"January 30, 2018",2016,5.3,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",Netflix
s5059,Movie,Holy Camp!,"Javier Ambrossi, Javier Calvo","January 29, 2018",2017,6.1,108 min,"Comedies, Dramas, Faith & Spirituality",Netflix
s5060,Movie,A Futile and Stupid Gesture,David Wain,"January 26, 2018",2018,6.7,102 min,Comedies,Netflix
s5061,Movie,Fakkah Fuzz: Almost Banned,Michael McKay,"January 26, 2018",2018,4.6,61 min,Stand-Up Comedy,Netflix
s5062,Movie,Mau Nieto: Viviendo sobrio… desde el bar,,"January 26, 2018",2018,6.8,57 min,Stand-Up Comedy,Netflix
s5063,Movie,Sebastián Marcelo Wainraich,"Raúl Campos, Jan Suter","January 26, 2018",2018,6.4,49 min,Stand-Up Comedy,Netflix
s5064,TV Show,The Adventures of Puss in Boots,,"January 26, 2018",2018,6.5,6 Seasons,"Kids' TV, TV Comedies",Netflix
s5065,Movie,Acts of Vengeance,Isaac Florentine,"January 25, 2018",2017,5.7,87 min,"Action & Adventure, International Movies",Netflix
s5066,TV Show,Prison Playbook,,"January 24, 2018",2017,8.4,1 Season,"International TV Shows, Korean TV Shows, TV Comedies",Netflix
s5067,Movie,Ricardo Quevedo: Hay gente así,"Raúl Campos, Jan Suter","January 24, 2018",2018,6.4,59 min,Stand-Up Comedy,Netflix
s5068,Movie,Todd Glass: Act Happy,Scott Moran,"January 23, 2018",2018,5.1,63 min,Stand-Up Comedy,Netflix
s5069,Movie,Countdown to Death: Pablo Escobar,"Santiago Diaz, Pablo Martin Farina","January 22, 2018",2017,6.6,69 min,"Documentaries, International Movies",Netflix
s5070,TV Show,The Shannara Chronicles,,"January 22, 2018",2018,7.1,2 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",Netflix
s5071,TV Show,Love and Hong Kong,,"January 20, 2018",2017,6.9,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix
s5072,Movie,Harith Iskander: I Told You So,Michael McKay,"January 19, 2018",2018,5.0,62 min,Stand-Up Comedy,Netflix
s5073,Movie,Step Sisters,Charles Stone III,"January 19, 2018",2018,5.5,108 min,Comedies,Netflix
s5074,Movie,The Open House,"Matt Angel, Suzanne Coote","January 19, 2018",2018,3.3,95 min,"Horror Movies, Thrillers",Netflix
s5075,Movie,Bad Day for the Cut,Chris Baugh,"January 18, 2018",2017,6.5,99 min,"Independent Movies, International Movies, Thrillers",Netflix
s5076,TV Show,Tiempos de guerra,,"January 18, 2018",2017,7.5,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Netflix
s5077,Movie,Arango y Sanint: Ríase el show,"Raúl Campos, Jan Suter","January 17, 2018",2018,4.1,62 min,Stand-Up Comedy,Netflix
s5078,TV Show,Godzilla,"Kobun Shizuno, Hiroyuki Seshita","January 17, 2018",2017,6.4,1 Season,TV Shows,Netflix
s5079,Movie,Katt Williams: Great America,,"January 16, 2018",2018,6.3,60 min,Stand-Up Comedy,Netflix
s5080,Movie,Alibaba Aur 40 Chor,"Latif Faiziyev, Umesh Mehra","January 15, 2018",1980,6.2,147 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy",Netflix
s5081,Movie,Pyar Ke Do Pal,Rajiv Mehra,"January 15, 2018",1986,5.5,153 min,"Dramas, International Movies, Music & Musicals",Netflix
s5082,Movie,Rip Tide,Rhiannon Bannenberg,"January 15, 2018",2017,5.5,87 min,"Children & Family Movies, Dramas, Sports Movies",Netflix
s5083,TV Show,Disjointed,,"January 12, 2018",2018,6.8,2 Seasons,TV Comedies,Netflix
s5084,Movie,Milada,David Mrnka,"January 12, 2018",2017,6.3,124 min,"Dramas, International Movies",Netflix
s5085,Movie,The Polka King,Maya Forbes,"January 12, 2018",2018,6.0,94 min,"Comedies, Independent Movies",Netflix
s5086,Movie,The Reservoir Game,Choi Jin-seong,"January 12, 2018",2017,6.1,100 min,"Documentaries, International Movies",Netflix
s5087,Movie,Tom Segura: Disgraceful,Jay Karas,"January 12, 2018",2018,7.5,71 min,Stand-Up Comedy,Netflix
s5088,Movie,Alejandro Riaño: Especial de stand up,,"January 10, 2018",2018,5.1,60 min,Stand-Up Comedy,Netflix
s5089,Movie,The House Next Door,Milind Rau,"January 9, 2018",2017,4.1,135 min,"Horror Movies, International Movies, Thrillers",Netflix
s5090,TV Show,Tundukkan Playboy Itu,,"January 8, 2018",2016,,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix
s5091,TV Show,Episodes,,"January 6, 2018",2017,,5 Seasons,"Classic & Cult TV, TV Comedies",Netflix
s5092,Movie,Before I Wake,Mike Flanagan,"January 5, 2018",2016,6.2,97 min,"Horror Movies, Thrillers",Netflix
s5093,TV Show,Devilman Crybaby,Masaaki Yuasa,"January 5, 2018",2018,7.6,1 Season,"Anime Series, International TV Shows, TV Horror",Netflix
s5094,Movie,Mustang Island,Craig Elrod,"January 2, 2018",2017,6.2,86 min,"Comedies, Dramas, Independent Movies",Netflix
s5095,Movie,Eve's Apple,Jose Manuel Colón,"January 1, 2018",2017,6.8,91 min,"Documentaries, International Movies",Netflix
s5096,TV Show,Fullmetal Alchemist,,"January 1, 2018",2003,9.1,1 Season,"Anime Series, International TV Shows",Netflix
s5097,TV Show,Fullmetal Alchemist: Brotherhood,Yasuhiro Irie,"January 1, 2018",2010,9.1,5 Seasons,"Anime Series, International TV Shows",Netflix
s5098,TV Show,Lovesick,,"January 1, 2018",2018,8.0,3 Seasons,"British TV Shows, International TV Shows, Romantic TV Shows",Netflix
s5099,TV Show,Pokémon: Indigo League,,"January 1, 2018",2000,8.1,1 Season,"Anime Series, Kids' TV",Netflix
s5100,TV Show,The Frozen Dead,,"January 1, 2018",2017,5.0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix
s5101,TV Show,Dave Chappelle: Equanimity & The Bird Revelation,Stan Lathan,"December 31, 2017",2017,7.8,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Netflix
s5102,Movie,Fun Mom Dinner,Alethea Jones,"December 31, 2017",2017,5.3,82 min,"Comedies, International Movies",Netflix
s5103,Movie,Goon: Last of the Enforcers,Jay Baruchel,"December 30, 2017",2016,5.8,102 min,"Comedies, International Movies, Sports Movies",Netflix
s5104,TV Show,La Mante,,"December 29, 2017",2017,7.4,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix
s5105,Movie,The Climb,Ludovic Bernard,"December 29, 2017",2017,6.7,105 min,"Action & Adventure, Comedies, Dramas",Netflix
s5106,TV Show,Wadi,,"December 29, 2017",2015,7.2,1 Season,"International TV Shows, TV Dramas",Netflix
s5107,Movie,Bibi & Tina: Tohuwabohu Total,Detlev Buck,"December 27, 2017",2017,4.1,106 min,"Children & Family Movies, Music & Musicals",Netflix
s5108,Movie,Mr. Roosevelt,Noël Wells,"December 26, 2017",2017,6.2,91 min,"Comedies, Independent Movies",Netflix
s5109,Movie,Todd Barry: Spicy Honey,Jay Chapman,"December 26, 2017",2017,6.8,61 min,Stand-Up Comedy,Netflix
s5110,TV Show,Part-Time Idol,,"December 25, 2017",2017,6.4,1 Season,"International TV Shows, Korean TV Shows, TV Comedies",Netflix
s5111,Movie,Creep 2,Patrick Brice,"December 23, 2017",2017,6.4,80 min,"Horror Movies, Independent Movies, Thrillers",Netflix
s5112,TV Show,Myths & Monsters,Daniel Kontur,"December 23, 2017",2017,7.6,1 Season,"British TV Shows, Docuseries",Netflix
s5113,TV Show,72 Dangerous Animals: Latin America,,"December 22, 2017",2017,6.5,1 Season,"Docuseries, International TV Shows, Science & Nature TV",Netflix
s5114,Movie,Bright,David Ayer,"December 22, 2017",2017,6.9,118 min,"Action & Adventure, Sci-Fi & Fantasy",Netflix
s5115,Movie,Desire,Diego Kaplan,"December 21, 2017",2017,5.4,94 min,"Dramas, International Movies, Romantic Movies",Netflix
s5116,Movie,48 Christmas Wishes,"Marco Deufemia, Justin G. Dyck","December 20, 2017",2017,4.0,84 min,"Children & Family Movies, Comedies",Netflix
s5117,Movie,Jeremiah Tower: The Last Magnificent,Lydia Tenaglia,"December 20, 2017",2016,6.6,103 min,Documentaries,Netflix
s5118,Movie,Russell Howard: Recalibrate,Peter Orton,"December 19, 2017",2017,7.4,69 min,Stand-Up Comedy,Netflix
s5119,TV Show,The Indian Detective,,"December 19, 2017",2017,6.5,1 Season,"Crime TV Shows, International TV Shows, TV Comedies",Netflix
s5120,TV Show,"Hello, My Twenties!",,"December 18, 2017",2017,8.2,2 Seasons,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix
s5121,TV Show,Cheuk Wan-Chi: Two Night Stand,,"December 15, 2017",2015,,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",Netflix
s5122,Movie,Christmas Inheritance,Ernie Barbarash,"December 15, 2017",2017,5.7,105 min,"Dramas, International Movies, Romantic Movies",Netflix
s5123,Movie,Muramba,Varun Narvekar,"December 15, 2017",2017,8.1,128 min,"Comedies, Dramas, International Movies",Netflix
s5124,Movie,Pottersville,Seth Henrikson,"December 15, 2017",2017,5.5,86 min,"Comedies, Independent Movies",Netflix
s5125,Movie,Seoul Searching,Benson Lee,"December 15, 2017",2015,6.9,109 min,"Comedies, Dramas, International Movies",Netflix
s5126,TV Show,Wormwood,,"December 15, 2017",2017,7.0,1 Season,"Crime TV Shows, Docuseries",Netflix
s5127,TV Show,Halt and Catch Fire,,"December 14, 2017",2017,8.4,4 Seasons,TV Dramas,Netflix
s5128,Movie,Judd Apatow: The Return,Marcus Raboy,"December 12, 2017",2017,6.3,70 min,Stand-Up Comedy,Netflix
s5129,TV Show,Dawai Asmara,,"December 11, 2017",2016,7.1,1 Season,"International TV Shows, TV Dramas",Netflix
s5130,Movie,El Camino Christmas,David E. Talbert,"December 8, 2017",2017,5.7,89 min,"Comedies, Dramas",Netflix
s5131,Movie,Jaal,Umesh Mehra,"December 8, 2017",1986,,162 min,"Action & Adventure, International Movies",Netflix
s5132,Movie,Shikari,"Latif Faiziyev, Umesh Mehra","December 8, 2017",1991,3.8,163 min,"Dramas, International Movies, Music & Musicals",Netflix
s5133,Movie,The Secret,Drew Heriot,"December 7, 2017",2006,7.9,91 min,"Documentaries, Faith & Spirituality",Netflix
s5134,Movie,Trolls Holiday Special,Joel Crawford,"December 6, 2017",2017,6.1,27 min,"Children & Family Movies, Comedies, Music & Musicals",Netflix
s5135,Movie,Craig Ferguson: Tickle Fight,Jay Chapman,"December 5, 2017",2017,6.6,67 min,Stand-Up Comedy,Netflix
s5136,Movie,Jab Harry Met Sejal,Imtiaz Ali,"December 2, 2017",2017,5.1,142 min,"Comedies, International Movies, Romantic Movies",Netflix
s5137,Movie,Temple,Michael Barrett,"December 2, 2017",2017,7.1,78 min,"Horror Movies, Independent Movies",Netflix
s5138,Movie,A StoryBots Christmas,"Evan Spiridellis, Jeff Gill","December 1, 2017",2017,5.8,26 min,"Children & Family Movies, Comedies",Netflix
s5139,TV Show,All Hail King Julien,,"December 1, 2017",2017,7.1,5 Seasons,"Kids' TV, TV Comedies",Netflix
s5140,TV Show,Dhia Sofea,,"December 1, 2017",2015,,1 Season,"International TV Shows, TV Dramas",Netflix
